;	Simulated Data
;	t0	2010.35
s2	;	name	of	the	star
;	mK	13.95
;	spectral	type	B2
;	square	10.
;	facSchwarzschild	0	0
;	facSpecialRelativity	0	0
;	facGravitationalRedshift	0	0
;	facRetardation	0	0
;	useEllipse	FALSE
;	omegaSys	0	0
;	Dec2	0	0
;	Ra2	0	0
;	vDec2	0	0
;	vRa2	0	0
1992.488	-0.0103023318248	0.00001	0.178094334163	0.00001	;	simulated NACO
1992.49	-0.0103252007971	0.00001	0.178100055675	0.00001	;	simulated NACO
1992.492	-0.0103480687199	0.00001	0.178105759082	0.00001	;	simulated NACO
1992.494	-0.0103709355909	0.00001	0.17811144439	0.00001	;	simulated NACO
1992.496	-0.0103938014083	0.00001	0.1781171116	0.00001	;	simulated NACO
1992.498	-0.0104166661698	0.00001	0.178122760717	0.00001	;	simulated NACO
1992.5	-0.0104395298735	0.00001	0.178128391745	0.00001	;	simulated NACO
1992.502	-0.0104623925172	0.00001	0.178134004686	0.00001	;	simulated NACO
1992.504	-0.0104852540989	0.00001	0.178139599546	0.00001	;	simulated NACO
1992.506	-0.0105081146164	0.00001	0.178145176326	0.00001	;	simulated NACO
1992.508	-0.0105309740678	0.00001	0.178150735032	0.00001	;	simulated NACO
1992.51	-0.010553832451	0.00001	0.178156275666	0.00001	;	simulated NACO
1992.512	-0.0105766897638	0.00001	0.178161798233	0.00001	;	simulated NACO
1992.514	-0.0105995460042	0.00001	0.178167302735	0.00001	;	simulated NACO
1992.516	-0.0106224011702	0.00001	0.178172789177	0.00001	;	simulated NACO
1992.518	-0.0106452552597	0.00001	0.178178257562	0.00001	;	simulated NACO
1992.52	-0.0106681082705	0.00001	0.178183707894	0.00001	;	simulated NACO
1992.522	-0.0106909602007	0.00001	0.178189140175	0.00001	;	simulated NACO
1992.524	-0.0107138110481	0.00001	0.178194554411	0.00001	;	simulated NACO
1992.526	-0.0107366608108	0.00001	0.178199950604	0.00001	;	simulated NACO
1992.528	-0.0107595094866	0.00001	0.178205328758	0.00001	;	simulated NACO
1992.53	-0.0107823570735	0.00001	0.178210688877	0.00001	;	simulated NACO
1992.532	-0.0108052035693	0.00001	0.178216030964	0.00001	;	simulated NACO
1992.534	-0.0108280489722	0.00001	0.178221355022	0.00001	;	simulated NACO
1992.536	-0.0108508932799	0.00001	0.178226661056	0.00001	;	simulated NACO
1992.538	-0.0108737364905	0.00001	0.178231949069	0.00001	;	simulated NACO
1992.54	-0.0108965786018	0.00001	0.178237219064	0.00001	;	simulated NACO
1992.542	-0.0109194196118	0.00001	0.178242471046	0.00001	;	simulated NACO
1992.544	-0.0109422595185	0.00001	0.178247705016	0.00001	;	simulated NACO
1992.546	-0.0109650983198	0.00001	0.17825292098	0.00001	;	simulated NACO
1992.548	-0.0109879360136	0.00001	0.178258118941	0.00001	;	simulated NACO
1992.55	-0.0110107725979	0.00001	0.178263298902	0.00001	;	simulated NACO
1992.552	-0.0110336080706	0.00001	0.178268460866	0.00001	;	simulated NACO
1992.554	-0.0110564424297	0.00001	0.178273604838	0.00001	;	simulated NACO
1992.556	-0.0110792756731	0.00001	0.17827873082	0.00001	;	simulated NACO
1992.558	-0.0111021077988	0.00001	0.178283838817	0.00001	;	simulated NACO
1992.56	-0.0111249388047	0.00001	0.178288928832	0.00001	;	simulated NACO
1992.562	-0.0111477686888	0.00001	0.178294000868	0.00001	;	simulated NACO
1992.564	-0.0111705974489	0.00001	0.178299054929	0.00001	;	simulated NACO
1992.566	-0.0111934250832	0.00001	0.178304091018	0.00001	;	simulated NACO
1992.568	-0.0112162515894	0.00001	0.17830910914	0.00001	;	simulated NACO
1992.57	-0.0112390769656	0.00001	0.178314109296	0.00001	;	simulated NACO
1992.572	-0.0112619012097	0.00001	0.178319091492	0.00001	;	simulated NACO
1992.574	-0.0112847243197	0.00001	0.17832405573	0.00001	;	simulated NACO
1992.576	-0.0113075462935	0.00001	0.178329002013	0.00001	;	simulated NACO
1992.578	-0.0113303671291	0.00001	0.178333930346	0.00001	;	simulated NACO
1992.58	-0.0113531868245	0.00001	0.178338840732	0.00001	;	simulated NACO
1992.582	-0.0113760053775	0.00001	0.178343733175	0.00001	;	simulated NACO
1992.584	-0.0113988227862	0.00001	0.178348607677	0.00001	;	simulated NACO
1992.586	-0.0114216390485	0.00001	0.178353464242	0.00001	;	simulated NACO
1992.588	-0.0114444541623	0.00001	0.178358302874	0.00001	;	simulated NACO
1992.59	-0.0114672681257	0.00001	0.178363123576	0.00001	;	simulated NACO
1992.592	-0.0114900809365	0.00001	0.178367926352	0.00001	;	simulated NACO
1992.594	-0.0115128925928	0.00001	0.178372711205	0.00001	;	simulated NACO
1992.596	-0.0115357030925	0.00001	0.178377478139	0.00001	;	simulated NACO
1992.598	-0.0115585124336	0.00001	0.178382227157	0.00001	;	simulated NACO
1992.6	-0.011581320614	0.00001	0.178386958262	0.00001	;	simulated NACO
1992.602	-0.0116041276317	0.00001	0.178391671457	0.00001	;	simulated NACO
1992.604	-0.0116269334847	0.00001	0.178396366748	0.00001	;	simulated NACO
1992.606	-0.0116497381709	0.00001	0.178401044136	0.00001	;	simulated NACO
1992.608	-0.0116725416883	0.00001	0.178405703625	0.00001	;	simulated NACO
1992.61	-0.0116953440348	0.00001	0.178410345219	0.00001	;	simulated NACO
1992.612	-0.0117181452085	0.00001	0.178414968921	0.00001	;	simulated NACO
